"mois_no","groupe_no","prov_no","no","ca","code_prov","provenance","code_dep","departement","code_groupe","groupe","code_sgroupe","sous_groupe","mois","mois_numero","annee"
4,95,9,22756,3200.5,8,"Boutique",8,"Lingerie",26,"Linges & couvertures",26.3,"Nappes serviettes et coussins","Avril",4,2003
4,115,3,27412,161.600006,2,"Magasin",9,"Meubles",29,"Meubles exterieurs",29.6,"Petites armoires","Avril",4,2003
4,20,5,4660,6857.5,4,"Commandes téléphoniques",0,"Ménage",12,"Outillage & jouets",12,"Outillage, jardin accessoire auto","Avril",4,2003
4,23,7,5428,1556.5,6,"Studio Radio TV",0,"Ménage",12,"Outillage & jouets",12.3,"Articles pour enfants","Avril",4,2003
4,17,6,3964,573.099976,5,"Revetement de sol professionnel",0,"Ménage",11,"Cuisine & Accessoires",11.7,"Réveils et pendules","Avril",4,2003
4,42,9,10036,4906.3999,8,"Boutique",2,"Optique - Photos",15,"Optique - Photos",15.3,"Projection diapositives","Avril",4,2003
4,108,2,25708,6221.7998,1,"Zürich",9,"Meubles",28,"Meubles intérieurs",28.8,"Matelas","Avril",4,2003
4,86,9,20596,9717.09961,8,"Boutique",7,"Montres",24,"Montres",24.6,"Montres suisses dames","Avril",4,2003
4,102,7,24388,9740.90039,6,"Studio Radio TV",9,"Meubles",28,"Meubles intérieurs",28.2,"Tables de salon","Avril",4,2003
4,6,10,1420,4564.1001,9,"Vente aux employés",0,"Ménage",10,"Nettoyage",10.5,"Machines de cuisines","Avril",4,2003
4,12,3,2692,9424.90039,2,"Magasin",0,"Ménage",11,"Cuisine & Accessoires",11.2,"Couvert","Avril",4,2003
4,22,5,5140,825.900024,4,"Commandes téléphoniques",0,"Ménage",12,"Outillage & jouets",12.2,"Machine de bureau","Avril",4,2003
4,64,8,15292,1641.59998,7,"Studio Photo",4,"Maroquinerie - parapluies",20,"Maroquinerie - parapluies",20.4,"Sac de voyage sport plage commission","Avril",4,2003
4,69,9,16516,7658.2998,8,"Boutique",6,"Radio -TV",22,"Maroquinerie - parapluies",22.2,"Hi-Fi","Avril",4,2003
4,6,2,1228,2099.1001,1,"Zürich",0,"Ménage",10,"Nettoyage",10.5,"Machines de cuisines","Avril",4,2003
4,61,6,14524,4135,5,"Revetement de sol professionnel",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.9,"Set bijoux réparation fourniture","Avril",4,2003
4,2,7,388,787.099976,6,"Studio Radio TV",0,"Ménage",10,"Nettoyage",10.1,"Lavage, séchage,…","Avril",4,2003
4,114,6,27244,2738.8999,5,"Revetement de sol professionnel",9,"Meubles",29,"Meubles exterieurs",29.5,"Rotins","Avril",4,2003
4,46,7,10948,3285.80005,6,"Studio Radio TV",2,"Optique - Photos",15,"Optique - Photos",15.9,"Travaux photo","Avril",4,2003
4,59,6,14044,5846,5,"Revetement de sol professionnel",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.6,"Bracelets","Avril",4,2003
4,101,6,24124,5525.6001,5,"Revetement de sol professionnel",9,"Meubles",28,"Meubles intérieurs",28.1,"Parois - crédences","Avril",4,2003
4,99,1,23524,9354.5,0,"Par correspondance",8,"Lingerie",26,"Linges & couvertures",26.9,"Divers","Avril",4,2003
4,5,4,1036,4604.7998,3,"Expo",0,"Ménage",10,"Nettoyage",10.4,"Divers","Avril",4,2003
4,59,9,14116,7761.7002,8,"Boutique",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.6,"Bracelets","Avril",4,2003
4,60,1,14164,179.100006,0,"Par correspondance",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.8,"Pendentifs + Médaillons Zodiac","Avril",4,2003
4,12,7,2788,3664.6001,6,"Studio Radio TV",0,"Ménage",11,"Cuisine & Accessoires",11.2,"Couvert","Avril",4,2003
4,28,9,6676,2919.1001,8,"Boutique",1,"Tapis - rideaux",13,"Tapis",13.1,"Tapis de fond","Avril",4,2003
4,38,8,9052,7473.2998,7,"Studio Photo",1,"Tapis - rideaux",14,"Vitrage & Décoration",14.5,"Rideaux de douche","Avril",4,2003
4,80,7,19108,7411.2998,6,"Studio Radio TV",5,"Sports - Meubles de jardin",21,"Sports - Meubles de jardin",21.5,"Vélos","Avril",4,2003
4,86,5,20500,7382.8999,4,"Commandes téléphoniques",7,"Montres",24,"Montres",24.6,"Montres suisses dames","Avril",4,2003
4,27,4,6316,7054.7002,3,"Expo",1,"Tapis - rideaux",13,"Tapis",13,"Tapis d'orient","Avril",4,2003
4,81,2,19228,7208.6001,1,"Zürich",5,"Sports - Meubles de jardin",21,"Sports - Meubles de jardin",21.7,"Fitness","Avril",4,2003
4,53,10,12700,6381.3999,9,"Vente aux employés",3,"Bijouterie - Pendules",17,"Bijouterie BG",17.9,"Baguier et sets","Avril",4,2003
4,49,4,11596,786.299988,3,"Expo",3,"Bijouterie - Pendules",17,"Bijouterie BG",17.3,"Boucles d'oreilles","Avril",4,2003
4,47,4,11116,794.400024,3,"Expo",3,"Bijouterie - Pendules",17,"Bijouterie BG",17,"Divers","Avril",4,2003
4,116,2,27628,6575.2002,1,"Zürich",9,"Meubles",29,"Meubles exterieurs",29.7,"Autres petits meubles","Avril",4,2003
4,38,5,8980,5043.2002,4,"Commandes téléphoniques",1,"Tapis - rideaux",14,"Vitrage & Décoration",14.5,"Rideaux de douche","Avril",4,2003
4,39,9,9316,2751.19995,8,"Boutique",2,"Optique - Photos",15,"Optique - Photos",15,"Appareil photo sans relex","Avril",4,2003
4,2,6,364,7987.7002,5,"Revetement de sol professionnel",0,"Ménage",10,"Nettoyage",10.1,"Lavage, séchage,…","Avril",4,2003
4,70,8,16732,4843.6001,7,"Studio Photo",6,"Radio -TV",22,"Maroquinerie - parapluies",22.3,"Vidéo","Avril",4,2003
4,32,5,7540,4717.7998,4,"Commandes téléphoniques",1,"Tapis - rideaux",13,"Tapis",13.9,"Tapis divers","Avril",4,2003
4,27,2,6268,8522.5,1,"Zürich",1,"Tapis - rideaux",13,"Tapis",13,"Tapis d'orient","Avril",4,2003
4,97,4,23116,6910.1001,3,"Expo",8,"Lingerie",26,"Linges & couvertures",26.5,"Couvertures de laine","Avril",4,2003
4,79,3,18772,286.799988,2,"Magasin",5,"Sports - Meubles de jardin",21,"Sports - Meubles de jardin",21.3,"Accessoires camping","Avril",4,2003
4,54,4,12796,7718.8999,3,"Expo",3,"Bijouterie - Pendules",18,"Bijouterie HG",18,"Bagues or","Avril",4,2003
4,94,2,22348,5116.5,1,"Zürich",8,"Lingerie",26,"Linges & couvertures",26,"L. de toilette - lavettes - draps de bain","Avril",4,2003
4,78,9,18676,5235.2998,8,"Boutique",5,"Sports - Meubles de jardin",21,"Sports - Meubles de jardin",21.2,"Articles camping textil","Avril",4,2003
4,53,5,12580,6000.5,4,"Commandes téléphoniques",3,"Bijouterie - Pendules",17,"Bijouterie BG",17.9,"Baguier et sets","Avril",4,2003
4,73,9,17476,1600.80005,8,"Boutique",6,"Radio -TV",22,"Maroquinerie - parapluies",22.6,"Piles","Avril",4,2003
4,7,9,1636,3398.5,8,"Boutique",0,"Ménage",10,"Nettoyage",10.6,"Lavage et séchage","Avril",4,2003
4,26,4,6076,625.299988,3,"Expo",0,"Ménage",12,"Outillage & jouets",12.8,"Divers","Avril",4,2003
4,22,6,5164,5682.6001,5,"Revetement de sol professionnel",0,"Ménage",12,"Outillage & jouets",12.2,"Machine de bureau","Avril",4,2003
4,81,4,19276,3254.30005,3,"Expo",5,"Sports - Meubles de jardin",21,"Sports - Meubles de jardin",21.7,"Fitness","Avril",4,2003
4,14,10,3340,2603,9,"Vente aux employés",0,"Ménage",11,"Cuisine & Accessoires",11.4,"Stockage, nettoyage, séchage, repassage","Avril",4,2003
4,34,10,8140,7382.7998,9,"Vente aux employés",1,"Tapis - rideaux",14,"Vitrage & Décoration",14.1,"Tissu de décoration","Avril",4,2003
4,114,9,27316,2800.6001,8,"Boutique",9,"Meubles",29,"Meubles exterieurs",29.5,"Rotins","Avril",4,2003
4,35,9,8356,3364.30005,8,"Boutique",1,"Tapis - rideaux",14,"Vitrage & Décoration",14.2,"Bar et accessoires","Avril",4,2003
4,58,9,13876,2307.3999,8,"Boutique",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.5,"Chainettes et colliers","Avril",4,2003
4,77,6,18364,6980.2998,5,"Revetement de sol professionnel",5,"Sports - Meubles de jardin",21,"Sports - Meubles de jardin",21.1,"Meubles de camping","Avril",4,2003
4,92,9,22036,726.099976,8,"Boutique",8,"Lingerie",25,"Draps & lits",25.3,"Garnitures de lits","Avril",4,2003
4,54,5,12820,2541.8999,4,"Commandes téléphoniques",3,"Bijouterie - Pendules",18,"Bijouterie HG",18,"Bagues or","Avril",4,2003
4,82,4,19516,5798.7998,3,"Expo",5,"Sports - Meubles de jardin",21,"Sports - Meubles de jardin",21.9,"Divers","Avril",4,2003
4,87,5,20740,2589.3999,4,"Commandes téléphoniques",7,"Montres",24,"Montres",24.8,"Divers + réparartions montres + fournitures","Avril",4,2003
4,12,8,2812,6266.3999,7,"Studio Photo",0,"Ménage",11,"Cuisine & Accessoires",11.2,"Couvert","Avril",4,2003
4,16,4,3676,3423.3999,3,"Expo",0,"Ménage",11,"Cuisine & Accessoires",11.6,"Articles pour animeaux","Avril",4,2003
4,99,5,23620,8489.2002,4,"Commandes téléphoniques",8,"Lingerie",26,"Linges & couvertures",26.9,"Divers","Avril",4,2003
4,55,8,13132,7029.8999,7,"Studio Photo",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.1,"Alliances chevalière et bagues","Avril",4,2003
4,48,5,11380,8486,4,"Commandes téléphoniques",3,"Bijouterie - Pendules",17,"Bijouterie BG",17.1,"Bagues","Avril",4,2003
4,93,7,22228,2418.3999,6,"Studio Radio TV",8,"Lingerie",25,"Draps & lits",25.9,"Divers","Avril",4,2003
4,14,2,3148,7931,1,"Zürich",0,"Ménage",11,"Cuisine & Accessoires",11.4,"Stockage, nettoyage, séchage, repassage","Avril",4,2003
4,19,1,4324,4878.8999,0,"Par correspondance",0,"Ménage",11,"Cuisine & Accessoires",11.9,"Divers","Avril",4,2003
4,48,9,11476,3781.6001,8,"Boutique",3,"Bijouterie - Pendules",17,"Bijouterie BG",17.1,"Bagues","Avril",4,2003
4,15,2,3388,8864.09961,1,"Zürich",0,"Ménage",11,"Cuisine & Accessoires",11.5,"Articles de salle de bain","Avril",4,2003
4,44,6,10444,7373.2002,5,"Revetement de sol professionnel",2,"Optique - Photos",15,"Optique - Photos",15.7,"Jumelles et telescope","Avril",4,2003
4,66,6,15724,8158,5,"Revetement de sol professionnel",4,"Maroquinerie - parapluies",20,"Maroquinerie - parapluies",20.8,"Valises","Avril",4,2003
4,84,5,20020,1773.90002,4,"Commandes téléphoniques",7,"Montres",24,"Montres",24.1,"Montres suisses hommes","Avril",4,2003
4,118,4,28156,9881.40039,3,"Expo",9,"Meubles",29,"Meubles exterieurs",29.9,"Meubles de jardin","Avril",4,2003
4,78,2,18508,9116.90039,1,"Zürich",5,"Sports - Meubles de jardin",21,"Sports - Meubles de jardin",21.2,"Articles camping textil","Avril",4,2003
4,25,3,5812,8105.2002,2,"Magasin",0,"Ménage",12,"Outillage & jouets",12.5,"Jouets","Avril",4,2003
4,61,2,14428,8554.40039,1,"Zürich",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.9,"Set bijoux réparation fourniture","Avril",4,2003
4,90,1,21364,8439.40039,0,"Par correspondance",8,"Lingerie",25,"Draps & lits",25.1,"Draps molletons, molletons de lits","Avril",4,2003
4,94,10,22540,1858.80005,9,"Vente aux employés",8,"Lingerie",26,"Linges & couvertures",26,"L. de toilette - lavettes - draps de bain","Avril",4,2003
4,11,8,2572,3739,7,"Studio Photo",0,"Ménage",11,"Cuisine & Accessoires",11.1,"Vaisselle et verrerie","Avril",4,2003
4,51,1,12004,2825.3999,0,"Par correspondance",3,"Bijouterie - Pendules",17,"Bijouterie BG",17.7,"Chaînes et colliers","Avril",4,2003
4,76,8,18172,303.899994,7,"Studio Photo",5,"Sports - Meubles de jardin",21,"Sports - Meubles de jardin",21,"Tentes","Avril",4,2003
4,39,6,9244,1791.30005,5,"Revetement de sol professionnel",2,"Optique - Photos",15,"Optique - Photos",15,"Appareil photo sans relex","Avril",4,2003
4,103,5,24580,1699.30005,4,"Commandes téléphoniques",9,"Meubles",28,"Meubles intérieurs",28.3,"Salle a manger","Avril",4,2003
4,82,9,19636,8311.2002,8,"Boutique",5,"Sports - Meubles de jardin",21,"Sports - Meubles de jardin",21.9,"Divers","Avril",4,2003
4,78,5,18580,6192.1001,4,"Commandes téléphoniques",5,"Sports - Meubles de jardin",21,"Sports - Meubles de jardin",21.2,"Articles camping textil","Avril",4,2003
4,87,9,20836,6389.6001,8,"Boutique",7,"Montres",24,"Montres",24.8,"Divers + réparartions montres + fournitures","Avril",4,2003
4,26,1,6004,4929.2998,0,"Par correspondance",0,"Ménage",12,"Outillage & jouets",12.8,"Divers","Avril",4,2003
4,81,7,19348,9270,6,"Studio Radio TV",5,"Sports - Meubles de jardin",21,"Sports - Meubles de jardin",21.7,"Fitness","Avril",4,2003
4,82,10,19660,5147.2002,9,"Vente aux employés",5,"Sports - Meubles de jardin",21,"Sports - Meubles de jardin",21.9,"Divers","Avril",4,2003
4,46,10,11020,5461.6001,9,"Vente aux employés",2,"Optique - Photos",15,"Optique - Photos",15.9,"Travaux photo","Avril",4,2003
4,22,7,5188,7823.8999,6,"Studio Radio TV",0,"Ménage",12,"Outillage & jouets",12.2,"Machine de bureau","Avril",4,2003
4,66,10,15820,944.5,9,"Vente aux employés",4,"Maroquinerie - parapluies",20,"Maroquinerie - parapluies",20.8,"Valises","Avril",4,2003
4,84,1,19924,802,0,"Par correspondance",7,"Montres",24,"Montres",24.1,"Montres suisses hommes","Avril",4,2003
4,55,10,13180,7058.1001,9,"Vente aux employés",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.1,"Alliances chevalière et bagues","Avril",4,2003
4,105,7,25108,1787.5,6,"Studio Radio TV",9,"Meubles",28,"Meubles intérieurs",28.5,"Lits","Avril",4,2003
4,57,8,13612,6252.7998,7,"Studio Photo",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.3,"Divers","Avril",4,2003
4,97,1,23044,6461.6001,0,"Par correspondance",8,"Lingerie",26,"Linges & couvertures",26.5,"Couvertures de laine","Avril",4,2003
4,52,8,12412,5762.5,7,"Studio Photo",3,"Bijouterie - Pendules",17,"Bijouterie BG",17.8,"Bracelets identité","Avril",4,2003
4,8,1,1684,4885.7002,0,"Par correspondance",0,"Ménage",10,"Nettoyage",10.7,"Soins corporels","Avril",4,2003
4,19,3,4372,1576.09998,2,"Magasin",0,"Ménage",11,"Cuisine & Accessoires",11.9,"Divers","Avril",4,2003
4,20,3,4612,7358.7998,2,"Magasin",0,"Ménage",12,"Outillage & jouets",12,"Outillage, jardin accessoire auto","Avril",4,2003
4,113,1,26884,3540.30005,0,"Par correspondance",9,"Meubles",29,"Meubles exterieurs",29.4,"Salles de bains","Avril",4,2003
4,5,9,1156,2468.5,8,"Boutique",0,"Ménage",10,"Nettoyage",10.4,"Divers","Avril",4,2003
4,113,8,27052,6401.7998,7,"Studio Photo",9,"Meubles",29,"Meubles exterieurs",29.4,"Salles de bains","Avril",4,2003
4,60,5,14260,3777.8999,4,"Commandes téléphoniques",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.8,"Pendentifs + Médaillons Zodiac","Avril",4,2003
4,96,1,22804,4194.5,0,"Par correspondance",8,"Lingerie",26,"Linges & couvertures",26.4,"Couvertures divans piquées smyrne Gobelins","Avril",4,2003
4,59,3,13972,2881.30005,2,"Magasin",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.6,"Bracelets","Avril",4,2003
4,64,6,15244,5053.2998,5,"Revetement de sol professionnel",4,"Maroquinerie - parapluies",20,"Maroquinerie - parapluies",20.4,"Sac de voyage sport plage commission","Avril",4,2003
4,110,3,26212,327.200012,2,"Magasin",9,"Meubles",29,"Meubles exterieurs",29.1,"Bureaux","Avril",4,2003
4,22,2,5068,833.099976,1,"Zürich",0,"Ménage",12,"Outillage & jouets",12.2,"Machine de bureau","Avril",4,2003
4,14,7,3268,7644,6,"Studio Radio TV",0,"Ménage",11,"Cuisine & Accessoires",11.4,"Stockage, nettoyage, séchage, repassage","Avril",4,2003
4,99,3,23572,2194.30005,2,"Magasin",8,"Lingerie",26,"Linges & couvertures",26.9,"Divers","Avril",4,2003
4,69,10,16540,2293.1001,9,"Vente aux employés",6,"Radio -TV",22,"Maroquinerie - parapluies",22.2,"Hi-Fi","Avril",4,2003
4,3,6,604,2225.30005,5,"Revetement de sol professionnel",0,"Ménage",10,"Nettoyage",10.2,"Soins corporels","Avril",4,2003
4,56,3,13252,1337.69995,2,"Magasin",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.2,"Boucles d'oreilles","Avril",4,2003
4,32,7,7588,9202.5,6,"Studio Radio TV",1,"Tapis - rideaux",13,"Tapis",13.9,"Tapis divers","Avril",4,2003
4,99,2,23548,9920.09961,1,"Zürich",8,"Lingerie",26,"Linges & couvertures",26.9,"Divers","Avril",4,2003
4,28,3,6532,1113,2,"Magasin",1,"Tapis - rideaux",13,"Tapis",13.1,"Tapis de fond","Avril",4,2003
4,10,5,2260,3253.6001,4,"Commandes téléphoniques",0,"Ménage",11,"Cuisine & Accessoires",11,"Casseroles","Avril",4,2003
4,67,6,15964,3215.8999,5,"Revetement de sol professionnel",6,"Radio -TV",22,"Maroquinerie - parapluies",22,"Radio","Avril",4,2003
4,106,8,25372,1167.40002,7,"Studio Photo",9,"Meubles",28,"Meubles intérieurs",28.6,"Armoires","Avril",4,2003
4,93,8,22252,7203.1001,7,"Studio Photo",8,"Lingerie",25,"Draps & lits",25.9,"Divers","Avril",4,2003
4,53,2,12508,8840.7002,1,"Zürich",3,"Bijouterie - Pendules",17,"Bijouterie BG",17.9,"Baguier et sets","Avril",4,2003
4,51,8,12172,5847.3999,7,"Studio Photo",3,"Bijouterie - Pendules",17,"Bijouterie BG",17.7,"Chaînes et colliers","Avril",4,2003
4,38,1,8884,1275.90002,0,"Par correspondance",1,"Tapis - rideaux",14,"Vitrage & Décoration",14.5,"Rideaux de douche","Avril",4,2003
4,8,2,1708,5238,1,"Zürich",0,"Ménage",10,"Nettoyage",10.7,"Soins corporels","Avril",4,2003
4,90,3,21412,7396.7998,2,"Magasin",8,"Lingerie",25,"Draps & lits",25.1,"Draps molletons, molletons de lits","Avril",4,2003
4,11,5,2500,6001.7002,4,"Commandes téléphoniques",0,"Ménage",11,"Cuisine & Accessoires",11.1,"Vaisselle et verrerie","Avril",4,2003
4,81,9,19396,8851.09961,8,"Boutique",5,"Sports - Meubles de jardin",21,"Sports - Meubles de jardin",21.7,"Fitness","Avril",4,2003
4,91,1,21604,6215.5,0,"Par correspondance",8,"Lingerie",25,"Draps & lits",25.2,"Fourres","Avril",4,2003
4,36,4,8476,8093.3999,3,"Expo",1,"Tapis - rideaux",14,"Vitrage & Décoration",14.3,"Vitrage confectionné","Avril",4,2003
4,85,1,20164,180.899994,0,"Par correspondance",7,"Montres",24,"Montres",24.2,"Montres hommes divers","Avril",4,2003
4,96,10,23020,2805.30005,9,"Vente aux employés",8,"Lingerie",26,"Linges & couvertures",26.4,"Couvertures divans piquées smyrne Gobelins","Avril",4,2003
4,37,8,8812,784.5,7,"Studio Photo",1,"Tapis - rideaux",14,"Vitrage & Décoration",14.4,"Travail et montage","Avril",4,2003
4,99,6,23644,8398.7002,5,"Revetement de sol professionnel",8,"Lingerie",26,"Linges & couvertures",26.9,"Divers","Avril",4,2003
4,84,2,19948,7583.7998,1,"Zürich",7,"Montres",24,"Montres",24.1,"Montres suisses hommes","Avril",4,2003
4,24,3,5572,9758.40039,2,"Magasin",0,"Ménage",12,"Outillage & jouets",12.4,"Jouets techniques","Avril",4,2003
4,109,1,25924,5838,0,"Par correspondance",9,"Meubles",29,"Meubles exterieurs",29,"Meubles de corridor","Avril",4,2003
4,7,5,1540,6258.3999,4,"Commandes téléphoniques",0,"Ménage",10,"Nettoyage",10.6,"Lavage et séchage","Avril",4,2003
4,48,1,11284,7948.7002,0,"Par correspondance",3,"Bijouterie - Pendules",17,"Bijouterie BG",17.1,"Bagues","Avril",4,2003
4,8,7,1828,1172.30005,6,"Studio Radio TV",0,"Ménage",10,"Nettoyage",10.7,"Soins corporels","Avril",4,2003
4,111,10,26620,5102.6001,9,"Vente aux employés",9,"Meubles",29,"Meubles exterieurs",29.2,"Armoires de cuisine","Avril",4,2003
4,54,3,12772,5541.8999,2,"Magasin",3,"Bijouterie - Pendules",18,"Bijouterie HG",18,"Bagues or","Avril",4,2003
4,27,7,6388,3177.19995,6,"Studio Radio TV",1,"Tapis - rideaux",13,"Tapis",13,"Tapis d'orient","Avril",4,2003
4,15,1,3364,6058.5,0,"Par correspondance",0,"Ménage",11,"Cuisine & Accessoires",11.5,"Articles de salle de bain","Avril",4,2003
4,33,7,7828,8883.5,6,"Studio Radio TV",1,"Tapis - rideaux",14,"Vitrage & Décoration",14,"Vitrage au metre","Avril",4,2003
4,79,2,18748,5870.2998,1,"Zürich",5,"Sports - Meubles de jardin",21,"Sports - Meubles de jardin",21.3,"Accessoires camping","Avril",4,2003
4,104,10,24940,2260.19995,9,"Vente aux employés",9,"Meubles",28,"Meubles intérieurs",28.4,"Chambres à coucher","Avril",4,2003
4,14,1,3124,1053.40002,0,"Par correspondance",0,"Ménage",11,"Cuisine & Accessoires",11.4,"Stockage, nettoyage, séchage, repassage","Avril",4,2003
4,85,9,20356,7158.8999,8,"Boutique",7,"Montres",24,"Montres",24.2,"Montres hommes divers","Avril",4,2003
4,11,9,2596,6349.7998,8,"Boutique",0,"Ménage",11,"Cuisine & Accessoires",11.1,"Vaisselle et verrerie","Avril",4,2003
4,58,4,13756,6159.7002,3,"Expo",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.5,"Chainettes et colliers","Avril",4,2003
4,2,2,268,4334.6001,1,"Zürich",0,"Ménage",10,"Nettoyage",10.1,"Lavage, séchage,…","Avril",4,2003
4,79,10,18940,3083.8999,9,"Vente aux employés",5,"Sports - Meubles de jardin",21,"Sports - Meubles de jardin",21.3,"Accessoires camping","Avril",4,2003
4,112,2,26668,7389.7002,1,"Zürich",9,"Meubles",29,"Meubles exterieurs",29.3,"Autres meubles de cuisines","Avril",4,2003
4,71,4,16876,4862.2002,3,"Expo",6,"Radio -TV",22,"Maroquinerie - parapluies",22.4,"Ordinateur personnel","Avril",4,2003
4,72,4,17116,4231.6001,3,"Expo",6,"Radio -TV",22,"Maroquinerie - parapluies",22.5,"Telecomunications","Avril",4,2003
4,108,6,25804,9496.59961,5,"Revetement de sol professionnel",9,"Meubles",28,"Meubles intérieurs",28.8,"Matelas","Avril",4,2003
4,116,3,27652,6549.7998,2,"Magasin",9,"Meubles",29,"Meubles exterieurs",29.7,"Autres petits meubles","Avril",4,2003
4,72,6,17164,1998.5,5,"Revetement de sol professionnel",6,"Radio -TV",22,"Maroquinerie - parapluies",22.5,"Telecomunications","Avril",4,2003
4,103,7,24628,1686.30005,6,"Studio Radio TV",9,"Meubles",28,"Meubles intérieurs",28.3,"Salle a manger","Avril",4,2003
4,37,3,8692,1453.69995,2,"Magasin",1,"Tapis - rideaux",14,"Vitrage & Décoration",14.4,"Travail et montage","Avril",4,2003
4,79,7,18868,9784.09961,6,"Studio Radio TV",5,"Sports - Meubles de jardin",21,"Sports - Meubles de jardin",21.3,"Accessoires camping","Avril",4,2003
4,38,6,9004,1154.80005,5,"Revetement de sol professionnel",1,"Tapis - rideaux",14,"Vitrage & Décoration",14.5,"Rideaux de douche","Avril",4,2003
4,50,6,11884,3193.6001,5,"Revetement de sol professionnel",3,"Bijouterie - Pendules",17,"Bijouterie BG",17.4,"Pendentifs et médaillons","Avril",4,2003
4,53,6,12604,9567.7998,5,"Revetement de sol professionnel",3,"Bijouterie - Pendules",17,"Bijouterie BG",17.9,"Baguier et sets","Avril",4,2003
4,7,1,1444,9032.7998,0,"Par correspondance",0,"Ménage",10,"Nettoyage",10.6,"Lavage et séchage","Avril",4,2003
4,52,10,12460,6560.2998,9,"Vente aux employés",3,"Bijouterie - Pendules",17,"Bijouterie BG",17.8,"Bracelets identité","Avril",4,2003
4,12,6,2764,999,5,"Revetement de sol professionnel",0,"Ménage",11,"Cuisine & Accessoires",11.2,"Couvert","Avril",4,2003
4,50,7,11908,1788.80005,6,"Studio Radio TV",3,"Bijouterie - Pendules",17,"Bijouterie BG",17.4,"Pendentifs et médaillons","Avril",4,2003
4,111,8,26572,9180.90039,7,"Studio Photo",9,"Meubles",29,"Meubles exterieurs",29.2,"Armoires de cuisine","Avril",4,2003
4,62,9,14836,6232.7998,8,"Boutique",4,"Maroquinerie - parapluies",20,"Maroquinerie - parapluies",20,"Etuis, coffret portemonnaie portefeuille","Avril",4,2003
4,41,1,9604,26,0,"Par correspondance",2,"Optique - Photos",15,"Optique - Photos",15.2,"Accessoires","Avril",4,2003
4,62,7,14788,6028.5,6,"Studio Radio TV",4,"Maroquinerie - parapluies",20,"Maroquinerie - parapluies",20,"Etuis, coffret portemonnaie portefeuille","Avril",4,2003
4,83,4,19756,133.399994,3,"Expo",7,"Montres",24,"Montres",24,"Montres Casio + Accurist Hommes","Avril",4,2003
4,118,1,28084,1171.40002,0,"Par correspondance",9,"Meubles",29,"Meubles exterieurs",29.9,"Meubles de jardin","Avril",4,2003
4,98,4,23356,8409.7002,3,"Expo",8,"Lingerie",26,"Linges & couvertures",26.8,"Divers","Avril",4,2003
4,1,9,196,8262.2998,8,"Boutique",0,"Ménage",10,"Nettoyage",10,"Machines de cuisine","Avril",4,2003
4,77,10,18460,9604.40039,9,"Vente aux employés",5,"Sports - Meubles de jardin",21,"Sports - Meubles de jardin",21.1,"Meubles de camping","Avril",4,2003
4,68,7,16228,2590.5,6,"Studio Radio TV",6,"Radio -TV",22,"Maroquinerie - parapluies",22.1,"TV","Avril",4,2003
4,60,8,14332,9372.59961,7,"Studio Photo",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.8,"Pendentifs + Médaillons Zodiac","Avril",4,2003
4,98,3,23332,8953.7002,2,"Magasin",8,"Lingerie",26,"Linges & couvertures",26.8,"Divers","Avril",4,2003
4,33,2,7708,3926.6001,1,"Zürich",1,"Tapis - rideaux",14,"Vitrage & Décoration",14,"Vitrage au metre","Avril",4,2003
4,58,10,13900,4448.6001,9,"Vente aux employés",3,"Bijouterie - Pendules",18,"Bijouterie HG",18.5,"Chainettes et colliers","Avril",4,2003
4,46,4,10876,1765,3,"Expo",2,"Optique - Photos",15,"Optique - Photos",15.9,"Travaux photo","Avril",4,2003
4,45,3,10612,8669.7998,2,"Magasin",2,"Optique - Photos",15,"Optique - Photos",15.8,"Vidéo","Avril",4,2003
4,18,7,4228,4506.3999,6,"Studio Radio TV",0,"Ménage",11,"Cuisine & Accessoires",11.8,"Divers","Avril",4,2003
4,45,8,10732,6919.1001,7,"Studio Photo",2,"Optique - Photos",15,"Optique - Photos",15.8,"Vidéo","Avril",4,2003
4,29,5,6820,9571.90039,4,"Commandes téléphoniques",1,"Tapis - rideaux",13,"Tapis",13.2,"Milieux","Avril",4,2003
4,35,7,8308,6409,6,"Studio Radio TV",1,"Tapis - rideaux",14,"Vitrage & Décoration",14.2,"Bar et accessoires","Avril",4,2003
4,19,6,4444,2551.1001,5,"Revetement de sol professionnel",0,"Ménage",11,"Cuisine & Accessoires",11.9,"Divers","Avril",4,2003
4,13,2,2908,3827,1,"Zürich",0,"Ménage",11,"Cuisine & Accessoires",11.3,"Articles de cuisine et de cadeaux","Avril",4,2003
